name,id,latitude,longitude,address,working_day,name_en,address_en,working_day_en
บ้านชาติ,IC52098,13.76018,100.496414,98 ถนนจักรพงษ์ แขวงตลาดยอด เขตพระนคร กทม. 10200,จันทร์-อาทิตย์ 07.00-02.00 น. ,Bann Chart,"98 Chakrabongse Road Talat elite Metroplitan, Bangkok 10200",Monday-Sunday 07.00-02.00 
เอ็มบีเค ชั้น G,IC52131,13.74486,100.52978,444  มาบุญครองเซ็นเตอร์ ชั้น G ถนนพญาไท แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330,จันทร์-อาทิตย์ 10.00-21.00 น. ,MBK G FLOOR,"445 G FL. MBK center Building Phayathai,Wangmai, Phatumwan, Bangkok 10330",Monday-Sunday 10.00-21.00 
สยาม พารากอน,IC277842,13.7468792,100.5348963,ศูนย์การค้าสยามพารากอน เลขที่ 991 ถนนพระราม 1 แขวงปทุมวัน เขตปทุมวัน จังหวัดกรุงเทพมหานคร 10330,จันทร์-อาทิตย์ 10.00-22.00 น. ,Siam Paragon,"No.991 Siam Paragon Bldg., Rama 1 Rd., Patumwan, Bangkok 10330",Monday-Sunday 10.00-22.00 
มณเฑียร สุรวงศ์,IC52133,13.730114,100.531674,เลขที่ 50 ถนนสุรวงศ์ แขวงสี่พระยา เขตบางรัก กรุงเทพ,จันทร์-อาทิตย์ 07.00-02.00 น. ,MONTIEN SURAWONG,50 Surawong Road Si Pra Ya Bang Ruk Bangkok,Monday-Sunday 07.00-02.00 
ซีพี ทาวเวอร์,IC114453,13.72766,100.532413,313 ถนนสีลม แขวงสีลม เขตบางรัก กรุงเทพ 10500,จันทร์-ศุกร์ 07.00-23.00 น. เสาร์-อาทิตย์ 8.00-23.00 น. ,CP Tower,"313 Silom Road, Silom, Bang Rak, Bangkok 10500",Monday-Friday 07.00-23.00 Saturday-Sunday 8.00-23.00 
แกรนด์ไดม่อน ,IC52121,13.7503628,100.53843,888 ถนนเพชรบุรี เพขรบุรี เขตราชเทวี กรุงเทพฯ 10400,จันทร์-อาทิตย์ 07.00-02.00 น. ,GRAND DIAMOND,"888 Petchaburi Road,Petchaburi, Ra Bangkok, Thailand 10400",Monday-Sunday 07.00-02.00 
สีลม,IC52162,13.7290434,100.535232,10 ถ.สีลม สุรวงศ์ บางรัก กทม. 10500,จันทร์-อาทิตย์ 7.00-24.00 น. ,Silom,10 Silom Surawong Bangruk Bangkok 10500,Monday-Sunday 7.00-24.00 
นานา สแควร์,IC52136,13.742665,100.552583,นานาสแควร์  49 ถนน สุขุมวิท ซอย 3 คลองเตยเหนือ เขตวัฒนา กรุงเทพฯ 10110,จันทร์-อาทิตย์ 10.00-24.00 น. ,NANA SQUARE,Nana Square 1st Fl.Sukhumvit 49 Klong Toey Wattana 10110,Monday-Sunday 10.00-24.00 
ริเวอร์ไซด์ พลาซ่า,IC52102,13.7051638,100.490587,257 ถนนเจริญนคร แขวงสำเหร่ เขตธนบุรี กรุงเทพฯ 10600,จันทร์-อาทิตย์ 07.00-24.00 น. ,Riverside Plaza,"No.257 ,Room 107 ,Charoennakorn Road ,Samrae ,Thonburi 10600",Monday-Sunday 07.00-24.00 
สุขุมวิท 11,IC89861,13.741752,100.556504,โรงแรมแอมบาสซาเดอร์กรุงเทพ ถนน สุขุมวิท ซอย 11 แขวงคลองเตยเหนือ เขตวัฒนา จังหวัดกรุงเทพมหานคร 10110,จันทร์-อาทิตย์ 07.00-00.00 น. ,Sukhumvit 11,"Ambassador Hotel Bangkok, Sukhumvit Soi 11, Khlongtoey Nua, Wattana, Bangkok 10110",Monday-Sunday 07.00-00.00 
สุขุมวิท 15,IC89862,13.738751,100.55836,โรงแรม S15 กรุงเทพ เลขที่ 217 ซอยสุขุมวิท 15 คลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,จันทร์-อาทิตย์ 09.00-23.00 น. ,Sukhumvit 15,"S15 Hotel, Room 217, Sukhumvit Soi 15, Khlongtoey Nua, Wattana, Bangkok 10110",Monday-Sunday 09.00-23.00 
