lat,lng,address,type,content
13.8164,100.5608,,dq,"Central Plaza Lardprao, 2 fl."
13.765813,100.642633,,dq,The Mall Bangkapi
12.928932,100.878576,,dq,"Royal Garden Plaza, Pattaya, 1 fl."
13.764238,100.539474,,dq,Center One
13.713285,100.479178,,dq,The Mall Thapra
13.989319,100.616749,,dq,Future Park Rangsit
13.714319,100.405015,,dq,"The Mall Bangkae, G fl."
13.784973,100.612243,,dq,"Imperial Ladrpao, 1 fl."
13.744749,100.53008,,dq,"MBK Center, 2 fl."
13.855999,100.541607,,dq,"The Mall Ngamwongwan, G fl."
13.766238,100.64265,,dq,The Mall Bangkapi
18.785806,98.972655,,dq,"Kadsuankaew, 2 fl."
13.8260587,100.6790775,,dq,"Fashion Island, 1 fl."
13.714325,100.404894,,dq,"The Mall Bangkae, G fl."
18.769284,98.975593,,dq,"Robinson Chiangmai, 3 fl."
13.747218,100.503553,,dq,"The Old Siam, 1 fl."
13.855408,100.542283,,dq,"The Mall Ngamwongwan, 6 fl."
13.687037,100.64735,,dq,"Paradise Park, 1 fl."
13.760484,100.567197,,dq,"Lotus Ratchada, 1 fl."
13.693023,100.648931,,dq,Seacon
13.621373,100.611354,,dq,"Lotus Tepharak, 2fl."
13.6974732,100.5377018,,dq,"Central Plaza Rama 3, G fl."
13.817053,100.7281363,,dq,"Lotus Minburi, 1 fl."
13.167761,100.93087,,dq,Pacific Sriracha
13.802007,100.613977,,dq,Lotus Ramintra
18.798491,99.022205,,dq,Big C Chiangmai 2
13.7141,100.4225,,dq,Lotus Bangkae
13.9086224,100.5023202,,dq,"Major Pakkret, G fl."
13.60288,100.707924,,dq,Big C Bangplee
13.8132,100.0724,,dq,Big C Nakornpathom
13.7198852,100.5635269,,dq,Lotus Rama 4
13.8958,100.5566,,dq,Lotus Changwattana
13.705341,100.600352,,dq,Lotus Onnuch
13.650761,100.620731,,dq,Imperial World Samrong
13.8794,100.600413,,dq,Lotus Laksi
13.7187742,100.5667179,,dq,Big C Rama 4
13.339634,100.969966,,dq,Lotus Chonburi
13.8621,100.5102,,dq,Lotus Rattanathibet
13.6965117,100.5391655,,dq,Lotus Rama 3
13.8081,100.5345,,dq,Lotus Prachachuen
13.652722,100.678505,,dq,Lotus Bangna
12.951098,100.89348,,dq,Lotus Pattaya
13.6688,100.635785,,dq,Big C Bangna
13.694104,100.648488,,dq,Seacon
18.808851,98.996519,,dq,Lotus Kamthieng
13.677745,100.503536,,dq,Lotus Bangpakok
13.994119,100.612491,,dq,Lotus Rangsit
