address,id,latitude,line_url,longitude,name,opening_hours,phone_number,type,type_name
เลขที่ 390 ซอย 56 ถนนสายไหม แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,6650-th,0,https://lin.ee/No3KRq7p,0,โลตัส ซูเปอร์มาร์เก็ต สายไหม56,07:00-21:00 (14Hrs),,stores-lotuss-market,ซูเปอร์มาร์เก็ต
แม่สะเรียง,6649-th,18.16773,https://lin.ee/Xutzi0B,97.935494,โลตัส ซูเปอร์มาร์เก็ต แม่สะเรียง,07:00-21:00 (14Hrs),,stores-lotuss-market,ซูเปอร์มาร์เก็ต
เลขที่ 75 หมู่ที่ 5 ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120,5183-th,13.92685,https://lin.ee/DRXawiJ,100.525868,โลตัส ติวานนท์,,,stores-lotuss-extra,ไฮเปอร์มาร์เก็ต
เลขที่ 153 ถ.เลียบคลองสอง แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510,5182-th,13.860118,https://lin.ee/tG8xSyc,100.700016,โลตัส เลียบคลองสอง,,,stores-lotuss-extra,ไฮเปอร์มาร์เก็ต
ถนนคชเสนีย์ ตำบลวังชมภู อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์ 67210,3469-th,0,https://lin.ee/nXXJ9Ty,0,โลตัส โก เฟรช Go Fresh วังชมภู,24 ชม.,,stores-lotuss-express,โก เฟรช
สนามชัย,3468-th,0,https://lin.ee/nj343bI,0,โลตัส โก เฟรช Go Fresh สนามชัย,24 ชม.,,stores-lotuss-express,โก เฟรช
ขุนหาญ,3467-th,0,https://lin.ee/GBL2P3o,0,โลตัส โก เฟรช Go Fresh ขุนหาญ,24 ชม.,,stores-lotuss-express,โก เฟรช
หว้านใหญ่,3466-th,16.729173,https://lin.ee/l5jfG1w,104.742704,โลตัส โก เฟรช Go Fresh หว้านใหญ่,24 ชม.,,stores-lotuss-express,โก เฟรช
ตลาดบางปู80,3465-th,0,https://lin.ee/T1jZ0XI,0,โลตัส โก เฟรช Go Fresh ตลาดบางปู80,24 ชม.,,stores-lotuss-express,โก เฟรช
ท.ท่าเรือ,3464-th,0,https://lin.ee/XN3Lurv,0,โลตัส โก เฟรช Go Fresh ท.ท่าเรือ,24 ชม.,,stores-lotuss-express,โก เฟรช
โคกอุดม,7463-th,0,https://lin.ee/uKC5DPb,0,โลตัส โก เฟรช Go Fresh โคกอุดม,24 ชม.,,stores-lotuss-express,โก เฟรช
