name,location,latitude,longitude
CENTER ONE,"1001 Soi Lertpanya, Rajvithee Road, Phayathai, Ratchathevi, Bangkok 10400",13.764251,100.539441
PACIFIC PARK SRIRACHA,"90 Sukhumvit Road, KM. 118, Sriracha, Chonburi 20110",13.167498,100.930645
BIG C EXTRA SRINAKARIN,"425 Moo 5 Srinakarin Road, Sumrong Nua, Muang, Samut Prakarn 10270",13.649375,100.640991
"JUNGCEYLON 2 (SAI 3), PATONG PHUKET","197 Rat-U-thit 200 Pee Road, Patong, Kratu, Phuket 83120",7.890411,98.300828
"AMORINI, SIAM PARK (DRIVE-THRU)","1 Suan Siam Road, Kannayao, Bangkok 10230",13.814155,100.687542
PLATINUM NOVOTEL,"220 Petchburi Road, Thanon Petchburi, Ratchathewi, Bangkok 10400",13.750119,100.539859
"NAKORNCHAISRI, NAKORNPATHOM (DRIVE-THRU)","59/11 Moo 4, Petchkasem Road, Tha Tamnak, Nakornchaisri, Nakornpathom 73120",13.7739,100.179219
VICTORIA GARDEN - PETCHKASEM 69 (DRIVE-THRU),"1869/1 Petchkasem Road, Laksong, Bangkae, Bangkok 10160",13.707651,100.376756
GLAS HAUS RATCHADA 17 (DRIVE-THRU),"207 Soi Ratchadapisek 17 Ratchadapisek Road, Din-Daeng, Din-Daeng, Bangkok 10400",13.785997,100.57374
SUANDOK HOSPITAL CHIANGMAI,110 1st Fl.  Parking Building Faculty of Medicine Chiangmai University Intawarorot Rd. Tambon Sriphoom Amphoe Mueangchiangmai Chiangmai Province,18.789314,98.97059
PTT THUNGSONG (DRIVE-THRU),"9/7 Naiwang Road, Pakpraek, Thungsong, Nakornsrithammarat 80110",8.155122,99.696583
PTT NAKORNCHAISRI (DRIVE-THRU),"35/22 Moo 1, Bangkaew, Nakornchaisri, Nakornpathom 73120",13.803575,100.164196
PHAHOLYOTHIN PLACE,"412/19 Phaholyothin Road, Samsennai, Phayathai, Bangkok 10400",13.783157,100.546091
PASSIONE SHOPPING DESTINATION RAYONG,"No. 554 Sukhumvit Nernphra Mueang Rayong , Rayong 21000 .",12.683379,101.249056
CENTRAL RAMA 3,"79/109-110 Sathupradit Road, Chongnonsee, Yannawa, Bangkok 10120",13.698299,100.537874
THE  MALL THAPHRA 1,"No. 99 , 1st Floor, The Mall Rd , Thonburi Thonburi , Bangkok 10600 .",13.713579,100.47997
LOTUS 'S SRINAKARIN,"9 Moo 6, Srinakarin Road, Bang Muang Mai, Muang Samutprakarn, Samutprakarn 10270",13.620392,100.620255
BIG C EXTRA SUKHAPHIBAN 5 (DRIVE-THRU),"98/3 Moo 4 Sukhaphiban 5 Road, Aor ngern, Saimai, Bangkok 10220",13.888855,100.656091
"UD TOWN, UDORN THANI (DRIVE-THRU)","88 Thongyai Road, Markkhang, Muang Udornthani, Udornthani 41000",17.398963,102.804637
CENTRAL FESTIVAL PHUKET,"74-75 Moo 5 Wichit Songkram Road, Wichit, Muang Phuket, Phuekt 83000",7.890243,98.367564
UBON SQUARE (DRIVE-THRU),"941/2 Chayangkoon Road, Naimuang, Muang Ubonratchathani, Ubonratchathani 34000",15.270565,104.842394
SCB PARK,"18 Ratchadaphisek Road, Ladyao, Chatuchak, Bangkok 10900",13.828058,100.564685
IT MALL FORTUNE TOWN,"No. 5, 1st Floor, Fortune Tower , Ratchadapisek Road, Din Daeng , Bangkok 10400 .",13.759886,100.565669
PTT AYUDHAYA (DRIVE-THRU),"69/1 Moo 3, Sai Asia Road, Banwa, Bangpa-in, Pranakorn Sriayudhaya 13160",14.266119,100.612238
KRABI,"328 Moo 2, Bansaithai Road, Ao Pra Nang, Muang, Krabi 81000",8.032913,98.825581
LOTUS 'S TOWN IN TOWN,"1329/10 Soi Ladprao 94 (Panjamit), Ladprao Road, Wangthonglang, Bangkok 10230",13.774385,100.610927
CHIANGMAI AIRPORT,"No. 60 International Airport domestic terminal . Area No. D2012-2014 , Moo 3 , Tambon Suthep , Muang, Chiang Mai 50200 .",18.768374,98.968265
M-PARK RAMA 2 (DRIVE-THRU),"No. 119 /1 Csl 2nd Floor , Rama 2 Rd , Bangkok 10150.",13.662939,100.441424
MEGA WANGBURAPA,"900 Mahachai Road, Wangburapapirom, Pranakorn, Bangkok 10200",13.745305,100.502605
GRAND FIVE NANA,"87 Soi Lertsin 1, Sukhumvit Road, Klongtoey Nua, Wattana, Bangkok 10110",13.741737,100.554053
CHIC REPUBLIC RAJCHAPRUEK (DRIVE-THRU),"6/11 Moo 2, Rajchapruek Road, Aomkred, Pakkred, Nonthaburi 11120",13.918304,100.452019
RAJBURI PETCHKASEM (DRIVE-THRU),"59/1 Moo 5, Petchkasem Road, Kokmo, Muang Rajburi, Rajburi 70000",13.575802,99.830298
PTT 345 OUTBOUND (DRIVE-THRU),"No. 114/894 Moo 5 , Tambon Bang Khu Wat Muang , Pathumthani 12000 .",13.955213,100.487418
KAD FARANG CHIANGMAI (DRIVE-THRU),"225/315 Moo 13, Chiangmai-Hod Road, Banwaen, Hangdong, Chiangmai 50230",18.70067,98.931185
AC MARKET SAIMAI,"222 Saimai Road, Saimai, Bangkok 10220",13.922316,100.642802
BANGCHAK SRINAKARIN (DRIVE-THRU),"887/2 Moo 5 Samrong Nuea, Amphoe Mueang Samut Prakan, Samutprakarn Province 10270",13.650295,100.639821
TUKCOM PATTAYA,"8 Moo 10 Pattaya Tai Road, Nongprue, Banglamung, Chonburi 20260",12.923717,100.878385
MAHBOONKRONG,"444 Phayathai Road, Wangmai, Pratumwan, Bangkok 10330",13.745487,100.530391
BIG C EXTRA LUMLUKKA KLONG 4 (DRIVE-THRU),"3/83 Moo 7 Lumlukka Road, Ladsawai, Lumlukka, Pathumthani 12150",13.93315,100.681806
ESPLANADE RATTANATHIBETH,"37/139 Moo 8 Rattanathibeth Road, Bangkasor, Muang Nonthaburi, Nonthaburi 11000",13.859989,100.51861
CENTRAL CHIANGRAI,"99/9 Moo 13 Phaholyothin Road, Robweing, Muang Chiangrai, Chiangrai 57000",19.886557,99.834111
KAOSAN ROAD 1,"1 Kaosan Road, Taladyod, Pranakorn, Bangkok 10200",13.759168,100.496618
DIANA HADYAI,"216 Sriphuvanart Road, Hadyai, Songkla 90110",6.998201,100.47798
KANCHANAPISEK BANGYAI (DRIVE-THRU),"36/713 Moo 6, Kanchanapisek Road, Bangrakpattana, Bangbuathong, Nonthaburi 11110",13.906077,100.408162
BB BANGYAI MARKET (DRIVE-THRU),"59/1 Moo 5, Petchkasem Road, Kokmo, Muang Rajburi, Rajburi 70000",13.876517,100.409224
M-PARK NAKHONSAWAN (DRIVE-THRU),"1010/243 Moo 10, Sai Asia Road, Nakornsawantok, Muang Nakornsawan, Nakornsawan 60000",15.701779,100.116013
THE BAY PATTAYA,"99/9 Moo 9 Nongprue, Banglamung, Chonburi 20150",12.943198,100.885
ESSO BANGNA-TRAD KM.17 (DRIVE-THRU),"18/291 Moo 7 Bangchalong, Bangphli, Samutprakarn 10540",13.614576,100.753117
BIG C RAJDAMRI,"97/11  Rajdamri Road, Lumpini, Pathumwan, Bangkok 10330",13.747338,100.541112
LOTUS 'S AMATA NAKORN,"No. 700/75 Moo 5 Tesco Lotus Amata Nakorn , Klong Tamru . Mueang Chonburi Province 20000",13.42585,101.004221
PLOENCHIT CENTER,"2 Sukhumvit Soi 2, Sukhumvit Road, Klongtoey, Bangkok 10110",13.742341,100.551461
