store_uid,store_id,store_number,name,address,lat,lng,open_time,close_time,store_type,has_tx
1147,2561,203214,Pizza Com Ratchabophit,"No.148 Ratchabophit Rd., Wangburapa, Pra Nakorn, Bangkok 10200",13.7494520,100.4990770,10:00:00,22:00:00,DLC,False
1133,1236,201068,Pizza Com Banglumpoo,"No.158-160 Rammabudtri Rd., Taladyod, Pranakorn, Bangkok 10200",13.7595440,100.4984930,10:00:00,00:30:00,RBD,False
198,2864,203223,Pizza Com Market Place Dusit,"Market Place Dusit, Wachiraphayaban, Dusit, Bankok 10330",13.7786720,100.5080730,,,DLC,False
318,1428,203103,Pizza Com Suwintawong,"No.25/13 Moo 3 Lampakchee, Nongchok, Bangkok 10530",13.8410750,100.8557350,10:00:00,00:30:00,DLC,False
1151,2636,203219,Pizza Com PTT Suwintawong,"PTT Suwintawong Km.36 No.89/8 Moo 8 Chokfad, Nokchoke Bangkok 10530",13.8088730,100.8069950,,,DLC,False
382,2400,203194,Pizza Com United Center Silom,"United Cemter Building B Fl. Unit B101 No.323 Silom Rd., Silom, Bangrak, Bangkok 10500",13.7271540,100.5313430,10:00:00,22:00:00,DLC,False
324,1434,203115,Pizza Com Silom Soi 22,"No.284/1-2 Soi Silom 22/1, Silom Rd., Suriyawong, Bangrak, Bangkok 10500",13.7244290,100.5223500,10:00:00,22:00:00,DLC,True
1134,1256,203015,Pizza Com Ying Charoen Market,No.651 Paholyothin Road Sub-District Anusawaree District Bangkhaen Bangkok 10220,13.8981248,100.6097983,10:00:00,00:30:00,DLC,False
472,1417,203093,Pizza Com Ladplakao,"No 9/141-142 Ranintra Km.2 Rd., Anusawaree, Bangkaen, Bangkok 10230",13.8636470,100.6142060,10:00:00,00:30:00,DLC,False
1218,3057,203234,Pizza Com Lotus Bangkapi,"Tesco Lotus Bangkapi No. 3109 Ladprao Rd., Klomhchan, Bangkapi, Bangkok 10240",13.7681570,100.6440260,,,DLC,False
537,1909,203148,Pizza Com The Park,"The Park No.217 Krungthep-Kritha Rd., Hua Mak, Bangkapi, Bangkok 10240",13.7470100,100.6614110,10:00:00,00:30:00,DLC,False
325,1437,203114,Pizza Com Ramkhamhaeng 24,"No.322 Ramkramhang 24 Rd., Huamak, Bangkrapi, Bangkok 10240",13.7533160,100.6213030,10:00:00,00:30:00,DLC,False
407,1384,270511,Pizza Com Lotus Chareonpol,"Tesco Lotus Rama 1 No.831 Rama 1 Rd., Wangmai, Phathumwan, Bangkok 10330",13.7475120,100.5248940,10:00:00,22:00:00,RBD,False
1404,3248,272124,Pizza Com Samyan Mitrtown,"No. 944/1 Phaya Thai Rd., Wang Mai, Pathumwan, Bangkok, 10330",13.7338895,100.5286290,,,FSR,False
287,1307,203042,Pizza Com Phlap Phla Chai,"No.9/1 Phab Phla Chai Rd., Pom Prap, Pom Prap Sattru Phai, Bangkok 10110",13.7455790,100.5110670,10:00:00,00:30:00,DLC,False
1175,2319,203189,Pizza Com The Phyll Sukhumvit 54,"No.2/3 Soi Sukhumvit 54 Bangchak, Phrakanhong, Bangkok 10260",13.7027750,100.6019580,10:00:00,00:30:00,DLC,False
600,1286,203032,Pizza Com Minburi,"No.382 Moo 13 Minburi, Minburi, Bangkok 10510",13.8129490,100.7279460,10:00:00,00:30:00,DLC,False
1443,3304,203236,Pizza Com Robinson Ladkrabang,"Robinson Ladkrabang No.71 Ladkrabang Rd., Ladkrabang, Ladkrabang, Bangkok 10250",13.7206120,100.7246290,,,DLC,False
273,1294,203036,Pizza Com Ladkrabang,"No.163/9 Moo 1 Ladkrabang, Ladkrabang, Bangkok 10520",13.7217660,100.7834620,10:00:00,00:30:00,DLC,False
315,1421,203095,Pizza Com Kaha Romklao,"No.78/45-46 Keha Romklao Rd., Khlongsongtonnun, Ladkrabang, Bangkok 10520",13.7661476,100.7224900,10:00:00,22:00:00,DLC,False
355,2163,203167,Pizza Com I-Place,"No.1 Soi Chalongkrung 31 Chalongkrung Rd., Lumpratuie, Ladkrabang, Bangkok 10520",13.7556510,100.7974570,10:00:00,22:00:00,DLC,False
578,1332,201049,Pizza Com Central Rama 3,"Central Rama 3 Room 221, 222 No.79/106-107 Sathupradit Rd., Chong Nonsi, Yannawa, Bangkok 10120",13.6982550,100.5380820,10:00:00,21:00:00,RBD,False
473,1380,203067,Pizza Com Market Place Nanglinchee,"Market Place Nanglinchee Room 114-115 No.27, 27/1 Nanglinchee Rd., Chong Nonsi, Yannawa, Bangkok 10120",13.7100220,100.5430310,10:00:00,22:00:00,DWS,False
272,1278,203027,Pizza Com Sathupradit,"No.664/25 Soi Sathupradit 55, Sathupradit Rd., Bang Pongpang, Bang Pongpang, Bangkok 10120",13.6814950,100.5314120,10:00:00,22:00:00,DLC,False
148,2844,272533,Pizza Com Sapankwai,"No.24 Soi Intramara 1, Sutthisarnvinitchai Rd., Samsen, Phayathai, Bangkok 10400",13.7896197,100.5501770,,,DLC,False
189,2624,203217,Pizza Com Ari Hills,"Ari Hills Building 2nd Fl. No.428 Phahonyothin Rd., Samsaennai, Payathai, Bangkok 10400",13.7847590,100.5467270,,,DLC,False
1138,1266,201011,Pizza Com The Mall Thapra,"No. 129 Room 346  3rd Fl. Ratchadapisek Rd. (Thapra-Taksin), Bukkalo Thonburi Bangkok 10600",13.7144075,100.4800209,10:00:00,22:00:00,FSR,False
369,2246,203184,Pizza Com Taladplu,"No.1259 Tedthai Rd., Taladphu, Thonburi, Bangkok 10600",13.7202086,100.4757449,10:00:00,00:30:00,DLC,False
1172,2312,201111,Pizza Com Riverside Plaza,"Riverside Plaza 2nd Floor, Room 205 No.257 Charoen Nakorn Rd., Samrae, Thonburi, Bangkok 10600",13.7053420,100.4907370,10:00:00,22:00:00,RBD,False
277,1282,203029,Pizza Com Charansanitwong Soi 12,"No.44/68 Charansanitwong Rd., Watthapra, Bangkokyai, Bangkok 10600",13.7397320,100.4708360,10:00:00,00:30:00,DLC,False
487,1892,203147,Pizza Com The Ninth Rama 9,"No.33/4 Rama 9 Rd., Hauay Kwang, Hauay Kwang, Bangkok 10310",13.7592280,100.5681700,10:00:00,00:30:00,DLC,False
1166,1906,201091,Pizza Com Central Rama 9,"No.9/9 Rama 9 Rd., HuaiKhwang, HuaiKhwang, Bangkok 10320",13.7579240,100.5658760,10:00:00,22:00:00,FSR,False
364,2205,203174,Pizza Com Meng-Jai,"No.507-509 Sam Sen Nok, Huai Khwang, Bangkok 10310",13.7719920,100.5808990,10:00:00,00:30:00,DLC,False
